Bokmål,Nynorsk,Engelsk,"Merknad"
korrelasjonskoeffisient,korrelasjonskoeffisient,correlation coefficient,
prosentilskjema,prosentilskjema,percentile graph,"Både persentilskjema og percentilskjema forekommer også i bruk på norsk, men prosentilskjema anbefales."
reduktiv liealgebra,reduktiv liealgebra,reductive Lie algebra,
reell,reell,real,
fordeling,fordeling,distribution,
irreversibel prosess,irreversibel prosess,irreversible process,
veihomotopi,veghomotopi,path homotopy,
kalkulus,kalkulus,calculus,
endelig algebraisk utvidelse,endeleg algebraisk utviding,finite algebraic extension,
kohomologigruppe,kohomologigruppe,cohomology group,
oktaeder,oktaeder,octahedron,
skjevhetskoeffisient,skeivskapskoeffisient,coefficient of skewness,
kropp,kropp,field,"Merk at oversettelsen av <i>field</i> er avhengig av kontekst. En kropp er en kommutativ ring der ethvert ikke-nullelement har en multiplikativ invers. For eksempel utgjør de reelle tall en kropp."
unitær,unitær,unitary,
riemannintegral,riemannintegral,Riemann integral,
forbindelsesaksiom,forbindelsesaksiom,incidence axiom,
usammenhengende,usamanhengande,disconnected,
normal,normal,normal<br>perpendicular,
forkastning,forkasting,rejection,
tetthetsfunksjon,tettleiksfunksjon,density function,
autokorrelasjon,autokorrelasjon,autocorrelation,
forventning,forventing,expectation,
indusert,indusert,induced,
liealgebra,liealgebra,Lie algebra,
UFD,UFD,UFD,"Genus: intetkjønn<br><br>UFD er en forkortelse for entydig faktoriseringsområde (bokmål) og eintydig faktoriseringsområde (nynorsk) og stammer fra <i>unique factorization domain</i>."
jordankjede,jordankjede,Jordan chain,
divisjonsring,divisjonsring,division ring,
ekte delmengde,ekte delmengd,proper subset,
tall,tal,number,
gaussisk heltall,gaussisk heiltal,Gaussian integer,
disjunkt union,disjunkt union,disjoint union,
cotangens,cotangens,cotangent,
sannsynlighet,sannsyn,likelihood,
multiplikativt identitetselement,multiplikativt identitetselement,multiplicative identity element,
brøk,brøk,fraction,
rettet mengde,retta mengd,directed set,
topologisk gruppe,topologisk gruppe,topological group,
irredusibel,irredusibel,irreducible,
utfall,utfall,outcome,
homotopitype,homotopitype,homotopy type,
øvre grense,øvre grense,superior limit<br>upper limit,
forventningsskjevhet,forventingsskeivskap,bias,
retningsderivert,retningsderivert,directional derivative,
feilmargin<br>feiltoleranse,feilmargin<br>feiltoleranse,margin of error,
