Bokmål,Nynorsk,Engelsk,"Merknad"
operator,operator,operator,
homogen,homogen,homogeneous,
supremum,supremum,supremum,
klassetall,klassetal,class number,
F-fordeling,F-fordeling,F-distribution<br>variance ratio distribution,
diskriminant,diskriminant,discriminant,
homogent ligningssystem<br>homogent likningssystem,homogent likningssystem,homogeneous system of equations,
forventningsskjev,forventingsskeiv,biased,
projektiv,projektiv,projective,
kvotientgruppe,kvotientgruppe,quotient group,"Synonym: faktorgruppe"
idempotent,idempotent,idempotent,
trigonometrisk,trigonometrisk,trigonometric,
banachrom,banachrom,Banach space,
histogram,histogram,histogram,
full underkategori,full underkategori,full subcategory,
tegntest,teikntest,sign test,
venndiagram,venndiagram,Venn diagram,
injektiv dimensjon,injektiv dimensjon,injective dimension,
negasjon,negasjon,negation,
avbildning,avbilding,map<br>mapping,"Ordklasse: substantiv"
ikke-parametrisk statistikk,ikkje-parametrisk statistikk,nonparametric statistics,
kvartil,kvartil,quartile,
kommuterende diagram,kommuterande diagram,commutative diagram,
graf,graf,graph,
sylinderkoordinater,sylinderkoordinatar,cylindrical coordinates,
binomialutvidelse,binomialutviding,binomial expansion,
endomorfiring,endomorfiring,endomorphism ring,
separabelt rom,separabelt rom,separable space,
nullhypotese,nullhypotese,null hypothesis,
underbasis,underbasis,subbasis,"De engelske termene <i>base</i> og <i>basis</i> brukes ikke helt synonymt. For eksempel vil <i>base</i> foretrekkes i topologi, mens <i>basis</i> brukes i lineær algebra. Merk at begge oversettes til basis på norsk."
deloverdekning,deloverdekking,subcover<br>subcovering,
differensligning<br>differenslikning,differenslikning,difference equation,
mengdelære,mengdelære,set theory,
retrakt,retrakt,retract,
komplekst plan,komplekst plan,complex plane,
lieteori,lieteori,Lie theory,
begrensning,avgrensing,bound,
jacobideterminant,jacobideterminant,Jacobian determinant,"Jacobideterminant kalles ofte bare <i>Jacobian</i> på engelsk."
kjegle,kjegle,cone,
heltallsutvidelse,heiltalsutviding,integral extension,
egenverdi,eigenverdi,eigenvalue,
pålitelighet,pålitelegheit,reliability,
enhetssirkel,einingssirkel,unit circle,
sammenhengskomponent,samanhengskomponent,connected component,
laplacetransformasjon,laplacetransformasjon,Laplace transform,
inferens,inferens,inference,
fornyelsesteoremet,fornyingsteoremet,renewal theorem,
essensiell monomorfi,essensiell monomorfi,essential monomorphism,
mengde,mengd,set,
liten kategori,liten kategori,small category,
cauchyfølge,cauchyfølgje,Cauchy sequence,
beskrivende statistikk<br>deskriptiv statistikk,beskrivande statistikk<br>deskriptiv statistikk<br>skildrande statistikk,descriptive statistics,
pivotrad,pivotrad,pivot row<br>pivotal row,"Forstavelsen pivot uttales [pivå:’]."
supplementvinkel,supplementvinkel,supplementary angle,"Suplementvinkler kan også omtales som supplementære vinkler (bokmål) og supplemtære vinklar (nynorsk)."
invarians,invarians,invariance,
ultrafilter,ultrafilter,ultrafilter,
projektivisering,projektivisering,projectivization,
isomorf,isomorf,isomorphic,
briggsk logaritme,briggsk logaritme,base ten logarithm<br>common logarithm,"Briggsk logaritme kalles noen ganger <i>Briggsian logarithm</i> på engelsk, og den norske oversettelsen stammer fra dette."
triangulert kategori,triangulert kategori,triangulated category,
homeomorf,homeomorf,homeomorphic,
eksistenskvantor,eksistenskvantor,existential quantifier,
paraboloide,paraboloide,paraboloid,
logikk,logikk,logic,
signifikant,signifikant,significant,
parallell,parallell,parallel,
kodimensjon,kodimensjon,codimension,
hyperbolsk,hyperbolsk,hyperbolic,
homolog,homolog,homologous,
defekt,defekt,defect,
primtallssatsen<br>primtallsteoremet,primtalssatsen<br>primtalsteoremet,prime number theorem,
radredusering,radredusering,row reduction,
kvadratrot,kvadratrot,square root,
assosiert gradert ring,assosiert gradert ring,associated graded ring,
simplisiell homologi,simplisiell homologi,simplicial homology,
forsøksplan,forsøksplan,design,"Oversettelsen gjelder bruk i statistikk og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger."
invers grense,invers grense,inverse limit,
klasseskille,klasseskilje,class boundary,"Oversettelsen gjelder bruk i statistikk og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger."
skjema,skjema,scheme,
mål,mål,measure,
høyreeksakt,høgreeksakt,right exact,
trunkering,trunkering,truncation,
positivt bestemt,positivt bestemd,positive definite,
grothendieckgruppe,grothendieckgruppe,Grothendieck group,
endelig lengde,endeleg lengd,finite length,
Zorns lemma,Zorns lemma,Zorn's lemma,
multippel lineær regresjon,multippel lineær regresjon,multiple linear regression,
riemannintegrasjon,riemannintegrasjon,Riemann integration,
torsjonsmodul,torsjonsmodul,torsion module,
multippelt integral,multippelt integral,multiple integral,
kjerneregelen,kjerneregelen,chain rule,
inversfunksjon,inversfunksjon,inverse function,
cosekans,cosekans,cosecant,
identitetsmatrise,identitetsmatrise,identity matrix,
kogrense,kogrense,colimit,
median,median,median,
full funktor,full funktor,full functor,
grad,grad,degree,
plan,plan,plane,
strengt avtagende,strengt minkande,strictly decreasing,
reversibel prosess,reversibel prosess,reversible process,
eksponentiell,eksponentiell,exponential,"Ordklasse: adjektiv <br> Uttale: [eksponentsie´l:]"
underalgebra,underalgebra,subalgebra,
additivt identitetselement,additivt identitetselement,additive identity element,
rekursjon,rekursjon,recursion,
kombinatorikk,kombinatorikk,combinatorics,
injeksjon,injeksjon,injection,
sesquilineær form,sesquilineær form,sesquilinear form,
konjugere,konjugere,conjugate,"Ordklasse: verb"
enkeltsammenhengende,enkeltsamanhengande,simply connected,
surjektivt system,surjektivt system,surjective system,
katastrofeteori,katastrofeteori,catastrophe theory,
rang,rang,rank,
egenrom,eigenrom,eigenspace,
skjæringspunkt,skjeringspunkt,intercept<br>point of intersection,
testobservator,testobservator,test statistic,
regulær ring,regulær ring,regular ring,
kompakt,kompakt,compact,
skalarprodukt,skalarprodukt,scalar product,
endringsrate,endringsrate,rate of change,
kvadratsum,kvadratsum,sum of squares,
lokalt veisammenhengende,lokalt vegsamanhengande,locally path connected,
topologisk vektorrom,topologisk vektorrom,topological vector space,
usann,usann,false,
omsirkel,omsirkel,circumcircle,
kontinuitetskorreksjon,kontinuitetskorreksjon,continuity correction,
robust,robust,robust,
venstreadjungert,venstreadjungert,left adjoint,
euklidsk,euklidsk,Euclidean,
simpel modul,simpel modul,simple module,
karakteristisk ligning<br>karakteristisk likning,karakteristisk likning,characteristic equation,
utvalg,utval,sample,
trappeform,trappeform,row echelon form,
omskrevet sirkel,omskriven sirkel,circumscribed circle,
kjedekompleks,kjedekompleks,chain complex,
rom,rom,space,
ANOVA,ANOVA,ANOVA,"ANOVA er en forkortelse for variansanalyse og stammer fra <i>analysis of variance</i>."
absoluttverdi<br>tallverdi,absoluttverdi<br>talverdi,absolute value,
torus,torus,torus,
dualbasis,dualbasis,dual basis,
logaritme,logaritme,logarithm,
tellbar,teljeleg,countable,
normal matrise,normal matrise,normal matrix,
konveksitet,konveksitet,convexity,
binomialteoremet,binomialteoremet,binomial theorem,
par,par,pair,
kolmogorovrom,kolmogorovrom,Kolmogorov space,
nulldivisor,nulldivisor,zero divisor,
sirkel,sirkel,circle,
transitiv,transitiv,transitive,
finere topologi,finare topologi,finer topology,
komplementvinkel,komplementvinkel,complementary angle,"Komplementvinkler kan også omtales som komplementære vinkler (bokmål) og komplementære vinklar (nynorsk)."
kart,kart,chart,
nullmatrise,nullmatrise,zero matrix,
lokalt enkeltsammenhengende,lokalt enkeltsamanhengande,locally simply connected,
markovegenskapen,markoveigenskapen,Markov property,
komponent,komponent,component,
monisk,monisk,monic,
veldefinert,veldefinert,well-defined,
differensialligning<br>differensiallikning,differensiallikning,differential equation,
kolineær<br>kollineær,kolineær<br>kollineær,colinear<br>collinear,"Begge skrivemåtene brukes på norsk, men kolineær anbefales."
rekurrensrelasjon,rekurrensrelasjon,recurrence relation,
representasjonstype,representasjonstype,representation type,
innsirkel,innsirkel,incircle,
inverstransformasjon,inverstransformasjon,inverse transform,
algebraisk multiplisitet,algebraisk multiplisitet,algebraic multiplicity,
oktant,oktant,octant,
geometri,geometri,geometry,
primelement,primelement,prime element,
primitiv idempotent,primitiv idempotent,primitive idempotent,
binom,binom,binomial,"Ordklasse: substantiv"
prikkprodukt,prikkprodukt,dot product,
reduktivt gruppeskjema,reduktivt gruppeskjema,reductive group scheme,
immersjon,immersjon,immersion,
enhet,eining,unit,
endelig representasjonstype,endeleg representasjonstype,finite representation type,
uavgjørbar,uavgjerbar,undecidable,
divergens,divergens,divergence,
node,node,vertex,
rad,rad,row,
direkte system,direkte system,direct system,
direkte summand,direkte summand,direct summand,
diskret valuasjonsring,diskret valuasjonsring,discrete valuation ring,
streng ulikhet,streng ulikskap,strict inequality,
tilfeldig utvalg,tilfeldig utval,random sample,
Students t-fordeling,Students t-fordeling,Student's t-distribution,
konvergens,konvergens,convergence,
differensialgeometri,differensialgeometri,differential geometry,
lokal homeomorfi,lokal homeomorfi,local homeomorphism,
fluks,fluks,flux,
Krull-Remak-Schmidt-teoremet,Krull-Remak-Schmidt-teoremet,Krull–Remak–Schmidt theorem,
tilnærmet normalfordeling,tilnærma normalfordeling,near normal distribution,
relasjon,relasjon,relation,
antianalytisk,antianalytisk,anti-analytic,
gren,grein,branch,
grenavgrensning,greinavgrensing,branch cut,
isolert singularitet,isolert singularitet,isolated singularity,
normal familie,normal familie,normal family,
laurentrekke,laurentrekkje,Laurent series,
konkav,konkav,concave,
syklisk,syklisk,cyclic,
syklisk gruppe,syklisk gruppe,cyclic group,
riemannsk geometri,riemannsk geometri,Riemannian geometry,
riemannsk metrikk,riemannsk metrikk,Riemannian metric,
hovedkrumning,hovudkrumming,principal curvature,
gaussisk krumning,gaussisk krumming,Gaussian curvature,
jacobifelt,jacobifelt,Jacobi field,
krumningstensor,krummingstensor,curvature tensor,
ramme,ramme,frame,
rammebunt,rammebunt,frame bundle,
ortogonal ramme,ortogonal ramme,orthogonal frame,
volum,volum,volume,
volumform,volumform,volume form,
tensorbunt,tensorbunt,tensor bundle,
ytre,ytre,exterior,"<i>Exterior</i> og <i>outer</i> brukes av og til synonymt, men i noen tilfeller kan ordvalg være avhengig av kontekst."
ytre,ytre,outer,"<i>Outer</i> og <i>exterior</i> brukes av og til synonymt, men i noen tilfeller kan ordvalg være avhengig av kontekst."
homogent rom,homogent rom,homogeneous space,
geodetisk komplett,geodetisk komplett,geodesically complete,
dreiemoment,dreiemoment,torque,
kovariant derivert,kovariant derivert,covariant derivative,
fiber,fiber,fibre,
fiberbunt,fiberbunt,fibre bundle,
riccikrumning,riccikrumming,Ricci curvature,
fibermetrikk,fibermetrikk,fibre metric,
gjennomsnittskrumning,gjennomsnittskrumming,mean curvature,
symplektisk form,symplektisk form,symplectic form,
symplektisk geometri,symplektisk geometri,symplectic geometry,
symplektisk vektorrom,symplektisk vektorrom,symplectic vector space,
hamiltonmekanikk,hamiltonmekanikk,Hamiltonian mechanics,
frenetramme,frenetramme,Frenet frame,
kontaktgeometri,kontaktgeometri,contact geometry,
kontaktstruktur,kontaktstruktur,contact structure,
kontaktform,kontaktform,contact form,
eksakt,eksakt,exact,
killingfelt,killingfelt,Killing field,
binormal enhetsvektor,binormal einingsvektor,binormal unit vector,
tangentrom,tangentrom,tangent space,
kotangentrom,kotangentrom,cotangent space,
tangentbunt,tangentbunt,tangent bundle,
kotangentbunt,kotangentbunt,cotangent bundle,
vektorbunt,vektorbunt,vector bundle,
klammegenererende,klammegenererande,bracket generating,
isotropisk,isotropisk,isotropic,
koisotropisk,koisotropisk,coisotropic,
minkowskirom,minkowskirom,Minkowski space,
enparameterundergruppe,einparameterundergruppe,one-parameter subgroup,
underriemannsk geometri,underriemannsk geometri,sub-Riemannian geometry,
klamme,klamme,bracket,
poissonklamme,poissonklamme,Poisson bracket,
poissonalgebra,poissonalgebra,Poisson algebra,
faserom,faserom,phase space,
differensialform,differensialform,differential form,
biholomorf funksjon,biholomorf funksjon,biholomorphic function,"Synonym: biholomorfi"
biholomorfi,biholomorfi,biholomorphism,"Synonym: biholomorf funksjon"
holomorf funksjon,holomorf funksjon,holomorphic function,"Synonym: holomorfi"
holomorfi,holomorfi,holomorphism,"Synonym: holomorf funksjon"
riemannflate,riemannflate,Riemann surface,
tetthet,tettleik,density,
volumtetthet,volumtettleik,volume density,"Oversettelsen gjelder bruk i differensialgeometri og må ikke forveksles med tetthet."
kleinflaske,kleinflaske,Klein bottle,
buntkart,buntkart,bundle chart,
konjugatpunkt,konjugatpunkt,conjugate point,
ytrederivert,ytrederivert,exterior derivative,
ytrederivasjon,ytrederivasjon,exterior differentiation,
rotsystem,rotsystem,root system,
cartanmatrise,cartanmatrise,Cartan matrix,
weylgruppe,weylgruppe,Weyl group,
stabilisator,stabilisator,stabilizer,
normalisator,normalisator,normalizer,
hopfalgebra,hopfalgebra,Hopf algebra,
tensoralgebra,tensoralgebra,tensor algebra,
symmetrisk algebra,symmetrisk algebra,symmertric algebra,
alternerende algebra,alternerande algebra,alternating algebra,
trofast gruppevirkning,trufast gruppeverknad,faithful group action,
involusjon,involusjon,involution,
grupperepresentasjon,grupperepresentasjon,group representation,
karaktertabell,karaktertabell,character table,
unipotent,unipotent,unipotent,
permutasjonsgruppe,permutasjonsgruppe,permutation group,
cartanunderalgebra,cartanunderalgebra,Cartan subalgebra,
jacobiidentitet,jacobiidentitet,Jacobi identity,
killingform,killingform,Killing form,
casimirelement,casimirelement,Casimir element,
fri gruppe,fri gruppe,free group,
pivotkoeffisient,pivotkoeffisient,pivot coefficient,"Forstavelsen pivot uttales [pivå:’]."
pivotposisjon,pivotposisjon,pivot position,"Forstavelsen pivot uttales [pivå:’]."
pivotsøking,pivotsøking,pivoting,"Forstavelsen pivot uttales [pivå:’]. Oversettelsen gjelder bruk innen blant annet numerisk lineær algebra, og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger."
spaltevis pivotsøking,spaltevis pivotsøking,partial pivoting,"Forstavelsen pivot uttales [pivå:’]."
skalert spaltevis pivotsøking,skalert spaltevis pivotsøking,scaled partial pivoting,"Forstavelsen pivot uttales [pivå:’]."
total pivotsøking,total pivotsøking,full pivoting,"Forstavelsen pivot uttales [pivå:’]."
fikspunktiterasjon,fikspunktiterasjon,fixed point iteration,
randverdiproblem,randverdiproblem,boundary value problem,
dividert differanse,dividert differanse,divided difference,
foroverdifferanse,framoverdifferanse,forward difference,
maskinpresisjon,maskinpresisjon,machine epsilon,
mantisse,mantisse,mantissa,
gjeldende siffer,gjeldande siffer,significant digit<br>significant figure,
flyttall,flyttal,floating point number,
avrundingsfeil,avrundingsfeil,round-off error<br>rounding error,
avbruddsfeil<br>trunkeringsfeil,avbrotsfeil<br>trunkeringsfeil,truncation error,
nøyaktighetstap,nøyaktigheitstap,loss of significance,
lagrangeinterpolasjon,lagrangeinterpolasjon,Lagrange interpolation,
newtoninterpolasjon,newtoninterpolasjon,Newton interpolation,
Newtons metode,Newtons metode,Newton's method,
sekant,sekant,secant,
kvadratur,kvadratur,quadrature,
gaussisk kvadraturmetode,gaussisk kvadraturmetode,Gaussian quadrature method,
konvergensorden,konvergensorden,order of convergence,
skrittlengde<br>steglengde,skrittlengd<br>steglengd,stepsize,
ettskrittsmetode<br>ettstegsmetode,eittskrittsmetode<br>eittstegsmetode,single step method,
flerskrittsmetode<br>flerstegsmetode,fleirskrittsmetode<br>fleirstegsmetode,multistep method,
diagonaldominant matrise,diagonaldominant matrise,diagonally dominant matrix,
strengt diagonaldominant matrise,strengt diagonaldominant matrise,strictly diagonally dominant matrix,
spektralradius,spektralradius,spectral radius,
singulærverdi,singulærverdi,singular value,
vandermondematrise,vandermondematrise,Vandermonde matrix,
midtpunktmetode,midtpunktmetode,midpoint method,
enhetsstegfunksjon<br>enhetstrappefunksjon,einingsstegfunksjon<br>einingstrappefunksjon,unit step function,
én-entydig<br>én-til-én,éin-eintydig<br>éin-til-éin,one-to-one,"Synonym: injektiv"
senter,senter,centre,
modelltest<br>tilpasningstest,modelltest<br>tilpassingstest,goodness-of-fit test,
absolutt konvergent,absolutt konvergent,absolutely convergent,
alternerende rekke,alternerande rekkje,alternating series,
besselfunksjon,besselfunksjon,Bessel function,
betafunksjon,betafunksjon,beta function,
cantormengde,cantormengd,Cantor set,
cauchykriterium,cauchykriterium,Cauchy criterion,
cauchyprodukt,cauchyprodukt,Cauchy product,
Cauchys middelverdisetning,Cauchys middelverdisetning,Cauchy's mean value theorem,
karakteristisk funksjon,karakteristisk funksjon,characteristic function,"Oversettelsen gjelder bruk i sannsynlighetsteori og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger."
kontinuerlig utvidelse,kontinuerleg utviding,continuous extension,
kontinuerlig deriverbar,kontinuerleg deriverbar,continuously differentiable,
kontraksjon<br>sammentrekning,kontraksjon<br>samantrekking,contraction,
konvergensteorem,konvergensteorem,convergence theorem,
dedekindsnitt,dedekindsnitt,Dedekind cut,
diameter,diameter,diameter,
dirichletkjerne,dirichletkjerne,Dirichlet kernel,
dirichletrekke,dirichletrekkje,Dirichlet series,
konvergensdisk,konvergensdisk,disc of convergence,
diskontinuitet,diskontinuitet,discontinuity,
fejérkjerne,fejérkjerne,Fejér kernel,
gammafunksjon,gammafunksjon,gamma function,
hausdorffdimensjon,hausdorffdimensjon,Hausdorff dimension,
hölderkontinuitet,hölderkontinuitet,Hölder continuity,
hölderkontinuerlig,hölderkontinuerleg,Hölder continuous,
höldereksponent,höldereksponent,Hölder exponent,
imaginærdel,imaginærdel,imaginary part,
konvergensintervall,konvergensintervall,interval of convergence,
isolert punkt,isolert punkt,isolated point,
isometrisk,isometrisk,isometric,
isometrisk isomorfi,isometrisk isomorfi,isometric isomorphism,
isometri,isometri,isometry,
lipschitzbetingelse,lipschitzvilkår,Lipschitz condition,
lipschitzkonstant,lipschitzkonstant,Lipschitz constant,
lipschitzkontinuitet,lipschitzkontinuitet,Lipschitz continuity,
lipschitzkontinuerlig,lipschitzkontinuerleg,Lipschitz continuous,
monoton konvergens,monoton konvergens,monotone convergence,
normtopologi,normtopologi,norm topology,
operatornorm,operatornorm,operator norm,
punktvis begrenset,punktvis avgrensa,pointwise bounded,
punktvis konvergens,punktvis konvergens,pointwise convergence,
punktvis konvergent,punktvis konvergent,pointwise convergent,
produktmetrikk,produktmetrikk,product metric,
produktnorm,produktnorm,product norm,
kvotientnorm,kvotientnorm,quotient norm,
kvotienttopologi,kvotienttopologi,quotient topology,
konvergensradius,konvergensradius,radius of convergence,
rektangel,rektangel,rectangle,
Riemanns kriterium,Riemanns kriterium,Riemann's criterion,
følgekompakthet,følgjekompaktheit,sequential compactness,
følgekompakt,følgjekompakt,sequentially compact,
delintervall,delintervall,subinterval,
delgrense,delgrense,subsequential limit,
symmetrisk differanse,symmetrisk differanse,symmetric difference,
trigonometrisk polynom,trigonometrisk polynom,trigonometric polynomial,
trigonometrisk rekke,trigonometrisk rekkje,trigonometric series,
ubegrenset,uavgrensa,unbounded,
uniform tillukning,uniform tillukking,uniform closure,
uniformt begrenset,uniformt avgrensa,uniformly bounded,
uniformt lukket,uniformt lukka,uniformly closed,
uniformt konvergent,uniformt konvergent,uniformly convergent,
absolutt kontinuitet,absolutt kontinuitet,absolute continuity,
absolutt kontinuerlig,absolutt kontinuerleg,absolutely continuous,
absolutt summerbar,absolutt summerbar,absolutely summable,
additiv,additiv,additive,
additivitet,additivitet,additivity,
areal,areal,area,
atom,atom,atom,
borelfunksjon,borelfunksjon,Borel function,
borelisomorfi,borelisomorfi,Borel isomorphism,
borelmålbar,borelmålbar,Borel measurable,
borelmål,borelmål,Borel measure,
borelmengde,borelmengd,Borel set,
carathéodorymålbar,carathéodorymålbar,Carathéodory measurable,
Carathéodorys utvidelsesteorem,Carathéodorys utvidingsteorem,Carathéodory's extension theorem,
indikatorfunksjon,indikatorfunksjon,characteristic function<br>indicator function,"Indikatorfunksjoner kan også omtales som karakteristiske funksjoner (bokmål) og karakteristiske funksjonar (nynorsk)."
komplekst mål,komplekst mål,complex measure,
tellbar additivitet,teljeleg additivitet,countable additivity,
tellbar subadditivitet,teljeleg subadditivitet,countable subadditivity,
tellbar superadditivitet,teljeleg superadditivitet,countable superadditivity,
tellemål,teljemål,counting measure,
darbouxintegrerbar,darbouxintegrerbar,Darboux integrable,
darbouxintegral,darbouxintegral,Darboux integral,
darbouxsum,darbouxsum,Darboux sum,
diracmål,diracmål,Dirac measure,
fordelingsfunksjon,fordelingsfunksjon,distribution function,
dynkinsystem,dynkinsystem,Dynkin system,
ytremål,ytremål,exterior measure<br>outer measure,
Fatous lemma,Fatous lemma,Fatou's lemma,
endelig,endeleg,finite,
endelig additivitet,endeleg additivitet,finite additivity,
endelig subadditivitet,endeleg subadditivitet,finite subadditivity,
endelig superadditivitet,endeleg superadditivitet,finite superadditivity,
endelig additiv,endeleg additiv,finitely additive,
endelig subadditiv,endeleg subadditiv,finitely subadditive,
endelig superadditiv,endeleg superadditiv,finitely superadditive,
haarmål,haarmål,Haar measure,
hahndekomposisjon,hahndekomposisjon,Hahn decomposition,
hausdorffmål,hausdorffmål,Hausdorff measure,
indre innhold,indre innhald,inner content,
indremål,indremål,inner measure,
integrerbarhet,integrerbarheit,integrability,
jordaninnhold,jordaninnhald,Jordan content,
jordandekomposisjon,jordandekomposisjon,Jordan decomposition,
lebesguedekomposisjon,lebesguedekomposisjon,Lebesgue decomposition,
lebesgueintegrerbar,lebesgueintegrerbar,Lebesgue integrable,
lebesguemålbar,lebesguemålbar,Lebesgue measurable,
lebesguemål,lebesguemål,Lebesgue measure,
lebesguemengde,lebesguemengd,Lebesgue set,
lokalt integrerbar,lokalt integrerbar,locally integrable,
nedre integral,nedre integral,lower integral,
målbar,målbar,measurable,
målbart rom,målbart rom,measurable space,
målrom,målrom,measure space,
målteori,målteori,measure theory,
metrisk ytremål,metrisk ytremål,metric exterior measure<br>metric outer measure,
monoton klasse,monoton klasse,monotone class,
gjensidig singulær,gjensidig singulær,mutually singular,
negativ del,negativ del,negative part,
negativ variasjon,negativ variasjon,negative variation,
ytre innhold,ytre innhald,outer content,
polardekomposisjon,polardekomposisjon,polar decomposition,
positiv del,positiv del,positive part,
positiv variasjon,positiv variasjon,positive variation,
sannsynlighetsmål,sannsynsmål,probability measure,
sannsynlighetsrom,sannsynsrom,probability space,
produktmål,produktmål,product measure,
radonmål,radonmål,Radon measure,
Radon-Nikodym-derivert,Radon-Nikodym-derivert,Radon–Nikodym derivative,
reelt mål,reelt mål,real measure,
regulært borelmål,regulært borelmål,regular Borel measure,
riemannintegrerbar,riemannintegrerbar,Riemann integrable,
riemannsum,riemannsum,Riemann sum,
semialgebra,semialgebra,semialgebra,
semiring,semiring,semiring,
fortegnsmål,forteiknsmål,signed measure,
enkel funksjon<br>simpel funksjon,enkel funksjon<br>simpel funksjon,simple function,
subadditiv,subadditiv,subadditive,
subadditivitet,subadditivitet,subadditivity,
summerbar,summerbar,summable,
superadditiv,superadditiv,superadditive,
superadditivitet,superadditivitet,superadditivity,
flatemål,flatemål,surface measure,
total variasjon,total variasjon,total variation,
uniformt integrerbar,uniformt integrerbar,uniformly integrable,
øvre integral,øvre integral,upper integral,
vektormål,vektormål,vector measure,
semisimpel liealgebra,semisimpel liealgebra,semisimple Lie algebra,
simpel liealgebra,simpel liealgebra,simple Lie algebra,
fri liealgebra,fri liealgebra,free Lie algebra,
abelsk liealgebra,abelsk liealgebra,abelian Lie algebra,
banachalgebra,banachalgebra,Banach algebra,
begrenset,avgrensa,bounded,
besselulikheten,besselulikskapen,Bessel inequality,"Synonym: Bessels ulikhet"
Bessels ulikhet,Bessels ulikskap,Bessel's inequality,"Synonym: besselulikheten"
carathéodorykriteriet,carathéodorykriteriet,Carathéodory criterion,
ekstremalverdisetningen,ekstremalverdisetninga,extreme value theorem,
grensesammenligningstesten<br>grensesammenlikningstesten,grensesamanlikningstesten,limit comparison test,
integraltesten,integraltesten,integral test,
sammenligningstesten<br>sammenlikningstesten,samanlikningstesten,comparison test,
Hahn-Banach-teoremet,Hahn-Banach-teoremet,Hahn–Banach theorem,
Henstock-Kurzweil-integrerbar,Henstock-Kurzweil-integrerbar,Henstock–Kurzweil integrable,
Henstock-Kurzweil-integral,Henstock-Kurzweil-integral,Henstock–Kurzweil integral,
intervallhalveringsmetoden,intervallhalveringsmetoden,bisection method,
inversfunksjonsteoremet,inversfunksjonsteoremet,inverse function theorem,
konvergenshastighet<br>konvergensrate,konvergenshastigheit<br>konvergensrate,rate of convergence,
kordemetoden<br>regula-falsi-metoden,kordemetoden<br>regula-falsi-metoden,false position method<br>regula falsi method,
Riemann-Lebesgue-lemmaet,Riemann-Lebesgue-lemmaet,Riemann–Lebesgue lemma,
Lebesgue-Radon-Nikodym-teoremet,Lebesgue-Radon-Nikodym-teoremet,Lebesgue–Radon–Nikodym theorem,
Lebesgue-Stieltjes-integral,Lebesgue-Stieltjes-integral,Lebesgue–Stieltjes integral,
Lebesgue-Stieltjes-mål,Lebesgue-Stieltjes-mål,Lebesgue–Stieltjes measure,
Riemann-Stieltjes-integrerbar,Riemann-Stieltjes-integrerbar,Riemann–Stieltjes integrable,
Riemann-Stieltjes-integral,Riemann-Stieltjes-integral,Riemann–Stieltjes integral,
lineærfunksjonal,lineærfunksjonal,linear functional,
Radon-Nikodym-teoremet,Radon-Nikodym-teoremet,Radon–Nikodym theorem,
sekantmetoden,sekantmetoden,secant method,
Stone-Weierstrass-teoremet,Stone-Weierstrass-teoremet,Stone–Weierstrass theorem,
normale koordinater,normale koordinatar,normal coordinates,
residy,residy,residue,"Oversettelsen gjelder bruk innen blant annet kompleks analyse og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger."
førsteintegral,førsteintegral,first integral,
tverrsnittkrumning,tverrsnittkrumming,sectional curvature,"Synonym: snittkrumning"
liederivert,liederivert,Lie derivative,
liederivasjon,liederivasjon,Lie differentiation,
enkel kurve,enkel kurve,simple curve,
möbiustransformasjon,möbiustransformasjon,Möbius transformation,
Hamiltons ligninger<br>Hamiltons likninger,Hamiltons likningar,Hamilton's equations,
mangfoldighet,mangfald,manifold,
undermangfoldighet,undermangfald,submanifold,
ytrederivering,ytrederivering,exterior differentiation,
ytrealgebra,ytrealgebra,exterior algebra,
christoffelsymbol,christoffelsymbol,Christoffel symbol,
Richardsons metode,Richardsons metode,Richardson's method,
Jacobis metode,Jacobis metode,Jacobi's method,
Gauss-Seidel-metoden,Gauss-Seidel-metoden,Gauss–Seidel method,
Rombergs metode,Rombergs metode,Romberg's method,
Simpsons regel,Simpsons regel,Simpson's rule,
Newton-Cotes' regel,Newton-Cotes' regel,Newton–Cotes' rule,
Runge-Kutta-metode,Runge-Kutta-metode,Runge–Kutta method,
Kutta-Mersons metode,Kutta-Mersons metode,Kutta–Merson's method,
trapesmetoden,trapesmetoden,trapezium method,"Legg merke til at uttrykket <i>trapezoid method</i> også er i utstrakt bruk."
numerisk skjema,numerisk skjema,numerical scheme,
interpolere,interpolere,interpolate,
interpolasjon,interpolasjon,interpolation,
ekstrapolasjon,ekstrapolasjon,extrapolation,
ekstrapolere,ekstrapolere,extrapolate,
glatt utvidelse,glatt utviding,smooth extension,
jordanbasis,jordanbasis,Jordan basis,"<i>Jordan basis</i> kan også omtales som <i>Jordan canonical basis</i> på engelsk."
jordankanonisk form,jordankanonisk form,Jordan canonical form,"Synonym: jordansk normalform"
jordansk normalform,jordansk normalform,Jordan normal form,"Synonym: jordankanonisk form"
choleskydekomponering,choleskydekomponering,Cholesky decomposition,"Oversettelsen dekomponering benyttes i tilfeller der prosessen vektlegges."
choleskydekomposisjon,choleskydekomposisjon,Cholesky decomposition,"Oversettelsen dekomposisjon benyttes i tilfeller der resultatet vektlegges."
ortogonal dekomposisjon,ortogonal dekomposisjon,orthogonal decomposition,
